direction,srclang,tgtlang,num_sentences,bleu,chrf,ter,meteor
cmn_to_eng,cmn,eng,997,20.216769963722328,48.00271012263641,73.15071108141643,0.490162809635398
cmn_to_fra,cmn,fra,997,17.656231926689184,45.0495388465802,76.9651287998012,0.410391881024417
dan_to_eng,dan,eng,997,24.07131754086911,50.785054926785165,67.73408418440393,0.5227337882398214
dan_to_fra,dan,fra,997,18.54513131989764,45.27457688299572,74.38499130290731,0.4104838612674062
deu_to_eng,deu,eng,997,16.345685894730163,41.139220939007934,81.93185072062613,0.40347506904204383
deu_to_fra,deu,fra,997,16.0383779098363,41.89830202558685,79.09384577155637,0.37617614715380715
ell_to_eng,ell,eng,997,24.811957757593692,52.184994567024624,66.5266774840126,0.5618572974176764
ell_to_fra,ell,fra,997,21.797476354409174,48.78908910470307,68.8395593473039,0.45788360516453275
fin_to_eng,fin,eng,997,5.227670987538873,28.524242135555284,120.11071871719004,0.24376186805765465
fin_to_fra,fin,fra,997,5.7556900273807186,27.339621031115186,106.70090284105027,0.2057090471765322
hin_to_eng,hin,eng,997,38.629902462475435,64.10182475197999,48.878495752600934,0.6913365653001001
hin_to_fra,hin,fra,997,27.490613217510525,54.625656751335725,61.88602667108424,0.5295881678304605
ita_to_eng,ita,eng,997,18.61923441554232,49.29369596434123,78.56256561992937,0.4955955975283473
ita_to_fra,ita,fra,997,21.422698881906243,50.68657936947418,70.78191004721279,0.4650428341914224
jpn_to_eng,jpn,eng,996,18.067668101991575,46.17106061154412,74.79935027708771,0.4700391525841406
jpn_to_fra,jpn,fra,997,15.548279926748119,42.130124864608014,78.50989811977139,0.37531738757430355
kor_to_eng,kor,eng,997,21.39032052551082,49.36351119007581,68.96058031879355,0.5143592360252973
kor_to_fra,kor,fra,997,16.910971165341127,43.72260057641068,74.49266959330738,0.3998073895443923
nld_to_eng,nld,eng,997,16.99651681909037,44.44757317331614,79.97518373580223,0.43478634459500576
nld_to_fra,nld,fra,997,15.065305179897395,42.28606868915099,79.45415389712582,0.37166309608917275
pol_to_eng,pol,eng,997,10.790635469475573,36.826586398607084,90.48868951035601,0.33431902724264445
pol_to_fra,pol,fra,997,10.731627617731943,36.25734285668084,87.21941522405368,0.29691163970354156
por_to_eng,por,eng,997,32.29781895563989,58.96726636527595,56.98196048487162,0.6179273103025035
por_to_fra,por,fra,997,28.589629936069922,55.4183754517391,59.70761202683674,0.5262312274829145
spa_to_eng,spa,eng,997,19.927486009624634,50.90937074632728,74.79717476376825,0.5200930939112317
spa_to_fra,spa,fra,997,22.4059319719439,51.13545502900551,70.0488693779508,0.47678388462309684
swe_to_eng,swe,eng,997,21.722571087661073,47.176396995932954,70.85997900162259,0.4718884194820627
swe_to_fra,swe,fra,997,16.277193562658553,42.18537544969347,76.46815207487782,0.3744283758932276
eng_to_cmn,eng,cmn,997,0.7049322502310926,25.01442606425518,107.20235178833906,0.008329199168510697
eng_to_dan,eng,dan,997,41.1380014312274,65.64507041800684,43.97018970189702,0.6629564545513427
eng_to_deu,eng,deu,997,35.669029126947045,62.05907337744174,51.327560637229105,0.6101015540872096
eng_to_ell,eng,ell,997,23.758606609474175,50.59961239943011,61.01955614150736,0.4851821261640143
eng_to_fin,eng,fin,997,18.682231979039603,52.72396098858129,69.97648288476613,0.4208227695421585
eng_to_hin,eng,hin,997,31.254059855851956,57.158356563139144,54.06998008696712,0.5495358194978103
eng_to_ita,eng,ita,997,27.495302812241217,57.04470228276314,58.56247824573616,0.5460527271824259
eng_to_jpn,eng,jpn,997,0.04488700267507365,30.187478445223338,458.6077140169332,0.0028634836109150815
eng_to_kor,eng,kor,997,12.213845216568865,34.169404632250675,81.96965591980494,0.3367467827647798
eng_to_nld,eng,nld,997,25.314224624789503,56.41664146808425,61.782833318227134,0.5317857668633433
eng_to_pol,eng,pol,997,17.80506175932061,48.29185338253575,71.69148936170214,0.41477887882714404
eng_to_por,eng,por,997,45.368434378979686,67.91791417854137,40.64884644562453,0.6974031667012682
eng_to_spa,eng,spa,997,26.61712837931032,54.801179086318605,57.915306821386835,0.5377347588219191
eng_to_swe,eng,swe,997,39.86422715555251,65.41348780986993,44.3727780599289,0.6499173518553674
fra_to_cmn,fra,cmn,997,0.8223652610085905,19.862037072890196,109.21117099461048,0.007843326265804975
fra_to_dan,fra,dan,997,23.469492532248108,50.33524620363821,69.0572977158343,0.4810229294252827
fra_to_deu,fra,deu,997,21.795589602107977,50.33418236143534,70.6405779074774,0.46632495593745216
fra_to_ell,fra,ell,997,16.262452809559022,42.772898392736,73.15754779169413,0.39623030343825577
fra_to_fin,fra,fin,996,11.661069548283708,44.22074617015815,84.46189074255807,0.32030330785768335
fra_to_hin,fra,hin,997,19.087977261533393,44.40531404736781,72.1502011622709,0.41181446194422666
fra_to_ita,fra,ita,997,20.69555490007872,50.52851218966019,68.83919248172641,0.46384036294628483
fra_to_jpn,fra,jpn,997,0.09782272677855908,23.104185245227068,318.5324553151458,0.0031300979334655792
fra_to_kor,fra,kor,996,7.268172515005434,25.59885240500293,93.31976941336046,0.24583217342167524
fra_to_nld,fra,nld,997,16.001877584877263,47.34587581897229,77.12317592676516,0.42008544489007593
fra_to_pol,fra,pol,997,12.240036808220736,40.72586681276164,84.14893617021276,0.32898152391003777
fra_to_por,fra,por,997,26.59919146731808,53.815041853848264,62.108974072917135,0.5295092072458384
fra_to_spa,fra,spa,997,19.868593452546637,48.21055013058277,69.01567347596598,0.45537570651660475
fra_to_swe,fra,swe,997,23.143756119212853,50.601138319380276,68.26307770441848,0.4735409230542481
